num views,num rows,num channels,batch size,peak memory (GB),avail memory (GB),elapsed time0 (sec),elapsed time1 (sec)
250,250,100,500,1.475,10.026,1.3,1.3
250,250,100,800,1.475,10.026,1.6,1.6
250,250,250,100,0.861,10.026,14.0,14.0
250,250,250,250,1.725,10.026,6.1,6.1
250,250,250,500,1.725,10.026,1.9,1.9
250,250,250,800,1.725,10.026,2.1,2.1
250,250,500,100,1.319,10.026,17.2,17.2
250,250,500,250,2.150,10.026,8.7,8.7
250,250,500,500,2.150,10.026,4.6,4.6
250,250,500,800,2.150,10.026,4.5,4.5
250,250,800,100,1.834,10.026,27.0,27.0
250,250,800,250,2.671,10.026,18.1,18.1
250,250,800,500,2.671,10.026,12.4,12.4
250,250,800,800,2.671,10.026,13.7,13.7
250,250,1250,100,2.748,10.026,44.7,44.7
250,250,1250,250,3.435,10.026,35.8,35.8
250,250,1250,500,3.435,10.026,26.9,26.9
250,250,1250,800,3.435,10.026,26.6,26.6
250,500,50,100,0.725,10.026,11.9,11.9
250,500,50,250,2.004,10.026,4.4,4.4
250,500,50,500,2.004,10.026,2.7,2.7
250,500,50,800,2.004,10.026,2.6,2.6
250,500,100,100,1.146,10.026,14.7,14.7
250,500,100,250,2.949,10.026,5.8,5.8
250,500,100,500,2.949,10.026,1.4,1.4
250,500,100,800,2.949,10.026,1.6,1.6
250,500,250,100,1.722,10.026,14.6,14.6
250,500,250,250,3.449,10.026,6.9,6.9
250,500,250,500,3.449,10.026,2.7,2.7
250,500,250,800,3.449,10.026,2.9,2.9
250,500,500,100,2.639,10.026,19.9,19.9
250,500,500,250,4.297,10.026,11.6,11.6
250,500,500,500,4.297,10.026,7.5,7.5
250,500,500,800,4.297,10.026,7.7,7.7
250,500,800,100,3.549,10.026,37.1,37.1
250,500,800,250,5.156,10.026,27.4,27.4
250,500,800,500,5.156,10.026,23.6,23.6
250,500,800,800,5.156,10.026,23.8,23.8
250,500,1250,100,5.380,10.026,70.4,70.4
